name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank_x,height (cm),matches_played,rank_y,pressure_rating,break_pts_converted%,break_pts_saved%,tie_breaks%,deciding_sets%
Andy Murray,2016,313,154,58%,76%,55%,268,67%,555,84%,67%,34%,58%,469,47%,536,41%,43%,56%,2,191,10,5.0,249.1,46.9%,67.2%,60.0%,75.0%
Illya Marchenko,2016,145,126,57%,74%,48%,183,62%,307,78%,63%,28%,47%,153,42%,312,21%,36%,49%,94,185,13,30.0,211.1,42.5%,62.3%,56.3%,50.0%
Novak Djokovic,2016,209,127,64%,75%,56%,238,68%,562,87%,68%,34%,60%,441,44%,544,36%,45%,56%,1,188,42,1.0,286.2,44.0%,68.5%,73.7%,100.0%
Fernando Verdasco,2016,188,127,61%,73%,47%,197,62%,336,78%,63%,28%,46%,166,37%,337,18%,35%,49%,49,188,33,43.0,197.1,36.7%,62.4%,64.7%,33.3%
Milos Raonic,2016,549,161,63%,81%,54%,142,65%,535,91%,71%,28%,49%,283,36%,523,20%,37%,53%,14,196,37,25.0,217.1,36.4%,65.5%,65.2%,50.0%
Dustin Brown,2016,91,37,65%,71%,52%,73,66%,115,78%,64%,33%,42%,75,41%,117,26%,37%,51%,118,196,13,,172.3,,,,
Stan Wawrinka,2016,331,117,58%,74%,56%,280,70%,595,86%,67%,28%,50%,338,39%,574,23%,37%,52%,4,183,27,19.0,223.3,39.3%,70.0%,64.0%,50.0%
Martin Klizan,2016,100,110,56%,70%,47%,183,62%,237,71%,60%,28%,53%,131,43%,239,23%,37%,49%,43,191,27,,195.2,,,,
Kei Nishikori,2016,201,136,59%,73%,56%,302,67%,588,83%,66%,29%,55%,433,41%,592,30%,39%,53%,8,178,52,3.0,252.5,41.1%,67.2%,75.0%,69.2%
Andrey Kuznetsov,2016,190,117,55%,75%,51%,201,63%,370,80%,64%,29%,52%,249,37%,377,25%,39%,51%,79,183,1,45.0,195.3,37.3%,63.2%,61.5%,33.3%
Gael Monfils,2016,429,137,63%,76%,53%,220,62%,547,85%,68%,32%,51%,365,45%,545,30%,39%,54%,24,193,28,20.0,222.6,45.2%,61.8%,61.1%,54.5%
Jiri Vesely,2016,128,69,62%,69%,54%,116,56%,238,79%,64%,28%,51%,146,34%,240,21%,37%,50%,41,198,17,,186.4,,,,
Marin Cilic,2016,475,120,54%,79%,56%,204,63%,569,87%,68%,28%,50%,346,37%,559,23%,37%,52%,13,198,44,28.0,212.7,37.3%,63.2%,52.2%,60.0%
Jerzy Janowicz,2016,19,25,64%,69%,48%,38,76%,32,72%,62%,21%,34%,20,25%,34,15%,25%,48%,57,203,0,,200.4,,,,
