name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank_x,height (cm),matches_played,rank_y,pressure_rating,break_pts_converted%,break_pts_saved%,tie_breaks%,deciding_sets%
Nikoloz Basilashvili,2018,159,149,58%,70%,51%,229,64%,383,79%,62%,27%,50%,202,41%,380,22%,36%,49%,20.0,185,32,25.0,216.3,40.6%,64.2%,61.5%,50.0%
Christopher Eubanks,2018,13,3,62%,77%,48%,5,20%,15,73%,66%,24%,65%,5,60%,15,20%,36%,50%,171.0,201,60,,180.8,,,,
Grigor Dimitrov,2018,229,150,62%,75%,48%,195,67%,383,83%,64%,27%,47%,180,36%,381,17%,35%,50%,21.0,191,35,13.0,231.4,35.6%,67.2%,78.6%,50.0%
Janko Tipsarevic,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,-inf,180,0,,192.8,,,,
David Goffin,2018,130,57,61%,71%,53%,139,62%,261,80%,64%,29%,57%,196,41%,266,30%,41%,52%,22.0,180,31,28.0,214.9,40.8%,61.9%,45.5%,66.7%
Cristian Garin,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,86.0,185,19,,182.8,,,,
Roberto Bautista Agut,2018,99,65,64%,71%,53%,198,61%,352,78%,64%,31%,55%,224,42%,343,27%,40%,52%,23.0,183,35,17.0,227.1,41.5%,61.1%,46.7%,77.8%
Andy Murray,2018,65,39,58%,72%,47%,74,59%,133,77%,62%,29%,54%,83,42%,132,27%,40%,51%,230.0,191,10,,233.9,,,,
Pablo Carreno Busta,2018,122,53,68%,68%,56%,167,65%,330,82%,64%,28%,53%,187,46%,333,26%,38%,51%,24.0,188,31,39.0,206.9,46.0%,65.3%,38.5%,57.1%
Luca Vanni,2018,7,1,58%,71%,46%,8,63%,10,70%,61%,8%,53%,2,0%,10,0%,21%,43%,164.0,198,32,,,,,,
Hyeon Chung,2018,159,115,63%,71%,52%,261,59%,515,79%,64%,32%,54%,336,43%,522,28%,40%,52%,25.0,188,49,24.0,217.6,43.2%,59.0%,59.1%,56.3%
Bradley Klahn,2018,101,46,59%,76%,54%,49,55%,138,84%,67%,23%,42%,37,38%,139,10%,29%,49%,76.0,183,54,,193.4,,,,
Denis Shapovalov,2018,335,261,56%,76%,51%,280,65%,558,82%,65%,28%,48%,260,42%,552,20%,36%,51%,27.0,185,44,20.0,222.3,42.3%,65.0%,45.0%,70.0%
Pablo Andujar,2018,4,5,62%,69%,59%,9,56%,17,76%,65%,24%,43%,7,29%,17,12%,31%,49%,82.0,180,4,,171.3,,,,
Fernando Verdasco,2018,255,153,61%,74%,50%,219,62%,417,80%,65%,30%,53%,235,43%,421,24%,38%,51%,28.0,188,33,57.0,189.2,43.4%,62.1%,30.8%,52.9%
Miomir Kecmanovic,2018,1,2,57%,65%,48%,11,64%,11,64%,58%,13%,62%,3,67%,11,18%,35%,49%,126.0,183,48,67.0,130.3,66.7%,63.6%,0.0%,0.0%
Alex de Minaur,2018,171,103,61%,70%,54%,282,67%,485,81%,63%,28%,55%,297,42%,488,25%,39%,51%,29.0,183,48,22.0,219.7,41.8%,67.4%,54.2%,56.3%
Pedro Sousa,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,103.0,180,2,,,,,,
Lucas Pouille,2018,270,111,56%,75%,50%,184,67%,369,83%,64%,25%,48%,167,41%,372,18%,34%,50%,30.0,185,33,19.0,224.6,40.7%,66.8%,44.4%,72.7%
Mikhail Kukushkin,2018,58,37,64%,66%,51%,194,61%,302,75%,60%,26%,52%,170,34%,308,19%,36%,49%,56.0,183,36,41.0,206.2,34.1%,61.3%,73.3%,37.5%
Gilles Simon,2018,141,61,61%,70%,51%,182,55%,356,77%,63%,32%,55%,238,40%,347,28%,41%,52%,31.0,183,37,34.0,209.8,40.3%,55.5%,76.5%,37.5%
Bjorn Fratangelo,2018,5,5,54%,69%,49%,11,45%,20,70%,60%,21%,48%,4,50%,20,10%,31%,45%,135.0,183,51,,179.6,,,,
Gael Monfils,2018,186,106,63%,73%,51%,123,60%,274,82%,65%,31%,48%,141,46%,265,25%,38%,51%,32.0,193,28,47.0,201.9,46.1%,60.2%,40.0%,55.6%
Damir Dzumhur,2018,93,104,61%,65%,48%,272,56%,388,69%,59%,32%,50%,238,41%,394,25%,39%,49%,46.0,175,40,52.0,195.5,40.8%,55.5%,56.3%,42.9%
Andreas Seppi,2018,156,69,58%,76%,50%,157,63%,331,82%,65%,27%,49%,169,41%,325,21%,35%,51%,37.0,191,36,48.0,201.0,40.8%,63.1%,47.1%,50.0%
Steve Johnson,2018,208,79,57%,74%,53%,147,67%,316,85%,65%,27%,44%,128,38%,315,16%,34%,50%,33.0,188,33,65.0,148.5,38.3%,67.3%,42.9%,0.0%
Philipp Kohlschreiber,2018,123,41,62%,71%,55%,159,65%,303,82%,65%,26%,49%,156,37%,308,19%,35%,50%,34.0,178,24,40.0,206.9,36.5%,64.8%,50.0%,55.6%
Zhe Li,2018,3,2,80%,59%,41%,11,73%,10,70%,55%,18%,48%,1,100%,10,10%,29%,45%,261.0,183,66,,,,,,
Radu Albot,2018,48,63,66%,66%,47%,165,57%,238,70%,59%,27%,51%,145,33%,235,20%,37%,48%,96.0,175,45,,195.9,,,,
Michael Mmoh,2018,52,53,65%,70%,43%,77,53%,137,74%,61%,23%,50%,57,51%,136,21%,34%,48%,108.0,188,52,,201.2,,,,
Alex Bolt,2018,41,14,59%,73%,47%,41,61%,65,75%,62%,21%,42%,22,32%,64,11%,28%,46%,159.0,183,41,,180.3,,,,
Jack Sock,2018,141,93,62%,73%,49%,155,64%,278,80%,64%,27%,47%,140,38%,284,19%,35%,50%,105.0,191,27,,203.0,,,,
Jeremy Chardy,2018,238,132,61%,77%,48%,147,57%,337,81%,65%,23%,49%,151,33%,330,15%,33%,49%,36.0,188,31,26.0,216.1,33.1%,57.1%,54.5%,71.4%
Ugo Humbert,2018,53,17,58%,74%,56%,28,57%,78,85%,66%,24%,44%,23,48%,77,14%,33%,50%,98.0,188,68,,186.9,,,,
Marius Copil,2018,317,74,57%,79%,52%,112,61%,294,85%,68%,25%,48%,117,39%,294,16%,34%,51%,61.0,191,38,59.0,176.8,39.3%,60.7%,62.5%,14.3%
Marcel Granollers,2018,11,13,56%,64%,36%,21,48%,20,45%,52%,24%,43%,13,23%,22,14%,31%,41%,110.0,191,52,,195.6,,,,
Pablo Cuevas,2018,35,23,61%,72%,52%,40,57%,83,80%,64%,28%,48%,32,50%,81,20%,36%,50%,90.0,180,10,,185.1,,,,
Dusan Lajovic,2018,63,32,66%,65%,52%,149,56%,241,73%,61%,28%,51%,133,41%,245,22%,37%,49%,45.0,183,31,,184.6,,,,
Taro Daniel,2018,60,78,59%,65%,47%,163,58%,211,68%,58%,23%,50%,87,39%,213,16%,34%,46%,78.0,191,35,,199.0,,,,
Thanasi Kokkinakis,2018,63,30,58%,77%,49%,38,68%,98,88%,66%,21%,49%,36,36%,101,13%,32%,49%,145.0,193,34,,203.1,,,,
Evgeny Donskoy,2018,92,50,61%,68%,50%,177,62%,276,76%,61%,27%,47%,119,40%,274,18%,35%,48%,95.0,185,37,46.0,202.4,40.3%,62.1%,66.7%,33.3%
Laslo Djere,2018,63,36,57%,70%,49%,88,63%,137,76%,61%,23%,52%,59,31%,143,13%,33%,47%,91.0,188,15,,193.8,,,,
Matthew Ebden,2018,211,145,59%,72%,49%,202,59%,353,76%,63%,26%,46%,142,45%,349,18%,34%,49%,47.0,188,39,43.0,205.2,45.1%,58.9%,46.7%,54.5%
Jan-Lennard Struff,2018,281,111,57%,77%,50%,145,59%,337,82%,65%,24%,49%,149,44%,339,19%,34%,50%,58.0,193,28,51.0,196.5,44.3%,59.3%,47.4%,45.5%
Daniel Evans,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,190.0,175,32,,206.7,,,,
Tatsuma Ito,2018,4,6,53%,67%,52%,17,76%,16,75%,60%,35%,52%,13,38%,16,31%,43%,52%,151.0,180,53,,189.7,,,,
Thomas Fabbiano,2018,19,34,64%,65%,50%,78,62%,124,76%,60%,29%,53%,72,38%,126,21%,37%,49%,100.0,173,38,,154.0,,,,
Jason Kubler,2018,24,31,60%,67%,39%,43,51%,61,66%,56%,33%,53%,45,47%,62,34%,42%,49%,131.0,178,61,,,,,,
Taylor Fritz,2018,276,83,60%,74%,49%,204,63%,382,80%,64%,25%,51%,191,37%,382,18%,35%,50%,50.0,196,52,15.0,230.1,36.6%,63.2%,66.7%,63.6%
Cameron Norrie,2018,108,78,64%,74%,49%,128,66%,242,82%,65%,29%,49%,118,45%,243,22%,37%,51%,93.0,188,43,62.0,168.5,44.9%,66.4%,42.9%,14.3%
Marton Fucsovics,2018,122,91,56%,72%,52%,205,66%,341,79%,63%,31%,52%,221,41%,349,26%,40%,51%,35.0,188,43,53.0,194.4,41.2%,65.9%,42.9%,44.4%
Albert Ramos-Vinolas,2018,84,54,58%,72%,50%,143,62%,223,75%,63%,21%,46%,89,29%,225,12%,31%,47%,65.0,188,24,,175.8,,,,
Robin Haase,2018,222,98,57%,72%,49%,215,58%,392,77%,62%,27%,49%,193,45%,393,22%,36%,49%,49.0,191,35,35.0,209.5,45.1%,57.7%,52.9%,53.8%
Guillermo Garcia-Lopez,2018,53,65,57%,71%,49%,82,54%,151,75%,61%,23%,52%,80,38%,153,20%,36%,49%,101.0,185,21,,198.7,,,,
Ryan Harrison,2018,262,91,60%,75%,54%,171,68%,373,85%,67%,26%,47%,163,39%,371,17%,34%,51%,81.0,185,33,21.0,222.1,39.3%,67.8%,40.0%,75.0%
Jiri Vesely,2018,110,68,65%,73%,49%,80,65%,163,83%,64%,26%,44%,72,35%,168,15%,32%,48%,87.0,198,17,,186.4,,,,
Pierre-Hugues Herbert,2018,295,136,60%,74%,51%,233,67%,456,83%,65%,26%,47%,164,45%,449,16%,34%,50%,53.0,188,48,36.0,208.3,45.1%,67.0%,46.2%,50.0%
Sam Querrey,2018,457,113,59%,82%,51%,131,59%,422,87%,69%,26%,48%,197,38%,417,18%,34%,51%,48.0,198,39,63.0,167.1,37.6%,58.8%,35.0%,35.7%
Ilya Ivashka,2018,95,39,57%,77%,48%,81,60%,165,81%,65%,29%,52%,100,35%,166,21%,38%,51%,94.0,193,52,,192.6,,,,
Malek Jaziri,2018,104,81,55%,72%,47%,184,57%,292,73%,61%,23%,50%,121,36%,291,15%,34%,48%,42.0,185,55,10.0,238.5,36.4%,57.1%,70.0%,75.0%
Ivo Karlovic,2018,267,65,65%,84%,53%,54,80%,179,94%,73%,18%,38%,54,22%,181,7%,25%,49%,69.0,211,32,,201.6,,,,
Hubert Hurkacz,2018,67,34,61%,67%,50%,79,58%,121,73%,60%,29%,45%,70,36%,122,20%,35%,48%,88.0,196,55,66.0,133.2,35.7%,58.2%,14.3%,25.0%
Denis Kudla,2018,143,53,57%,74%,51%,78,54%,188,81%,64%,23%,50%,74,41%,186,16%,34%,49%,62.0,180,51,,184.3,,,,
Marc Polmans,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,170.0,188,33,,,,,,
Henri Laaksonen,2018,13,12,48%,83%,42%,15,73%,19,79%,62%,35%,49%,14,29%,19,21%,40%,51%,166.0,185,28,,189.4,,,,
Mirza Basic,2018,91,32,58%,71%,55%,90,62%,178,81%,64%,24%,45%,73,40%,178,16%,32%,49%,97.0,188,42,,224.5,,,,
Maximilian Marterer,2018,142,34,61%,72%,55%,110,61%,244,82%,65%,22%,44%,99,32%,249,13%,31%,48%,70.0,188,27,,169.7,,,,
Gleb Sakharov,2018,6,2,57%,72%,36%,10,60%,9,56%,57%,35%,18%,5,20%,9,11%,29%,43%,250.0,185,33,,,,,,
Leonardo Mayer,2018,164,72,61%,75%,50%,109,51%,252,79%,65%,27%,46%,122,34%,247,17%,34%,50%,54.0,191,21,,172.9,,,,
Nicolas Jarry,2018,204,50,62%,74%,50%,120,68%,221,82%,65%,22%,48%,93,35%,218,15%,32%,49%,43.0,198,20,,172.2,,,,
Mackenzie McDonald,2018,62,57,64%,69%,49%,107,60%,189,77%,62%,25%,52%,88,43%,195,19%,36%,49%,79.0,178,50,,185.0,,,,
Andrey Rublev,2018,226,201,58%,75%,43%,277,62%,433,76%,62%,30%,54%,282,39%,440,25%,39%,50%,84.0,188,44,27.0,215.2,38.4%,62.1%,48.0%,66.7%
John Millman,2018,115,47,62%,70%,53%,145,61%,271,79%,64%,30%,52%,173,42%,272,26%,40%,51%,38.0,183,31,,189.6,,,,
Federico Delbonis,2018,16,18,61%,68%,48%,39,59%,63,75%,60%,25%,45%,26,31%,66,12%,33%,47%,77.0,193,6,,177.1,,,,
Yoshihito Nishioka,2018,17,39,68%,62%,52%,135,56%,199,70%,59%,27%,57%,127,39%,199,25%,39%,49%,75.0,170,53,8.0,241.7,39.4%,55.6%,80.0%,66.7%
Tennys Sandgren,2018,178,38,63%,75%,51%,128,67%,258,84%,66%,27%,47%,111,37%,255,16%,34%,50%,63.0,188,30,,172.9,,,,
Alexei Popyrin,2018,51,28,55%,73%,44%,44,61%,62,73%,60%,23%,38%,22,32%,64,11%,29%,45%,149.0,196,48,,184.6,,,,
Mischa Zverev,2018,154,78,58%,72%,47%,162,54%,282,74%,61%,28%,48%,156,35%,289,19%,36%,48%,68.0,191,27,68.0,128.5,35.3%,54.3%,16.7%,22.2%
Joao Sousa,2018,149,77,61%,73%,50%,193,49%,423,77%,64%,30%,48%,255,36%,423,22%,38%,50%,44.0,185,40,44.0,205.0,35.7%,48.7%,56.3%,64.3%
Guido Pella,2018,98,32,66%,69%,54%,105,60%,196,79%,64%,28%,54%,101,45%,194,23%,38%,51%,66.0,183,18,,181.8,,,,
Jordan Thompson,2018,32,22,66%,64%,43%,61,59%,74,66%,57%,29%,51%,45,31%,73,19%,37%,47%,72.0,183,62,,186.4,,,,
Feliciano Lopez,2018,313,76,61%,77%,47%,153,67%,293,83%,65%,25%,45%,121,28%,293,12%,32%,49%,64.0,188,31,11.0,236.5,28.1%,66.7%,66.7%,75.0%
Frances Tiafoe,2018,283,107,62%,73%,52%,240,66%,438,82%,65%,26%,49%,213,37%,436,18%,35%,50%,39.0,188,40,37.0,207.9,37.1%,66.3%,47.4%,57.1%
Prajnesh Gunneswaran,2018,7,9,56%,63%,39%,19,37%,25,52%,53%,22%,56%,7,29%,26,8%,33%,43%,112.0,188,48,,,,,,
Stefano Travaglia,2018,70,29,55%,79%,47%,31,58%,75,83%,65%,30%,48%,38,45%,73,23%,37%,51%,139.0,185,28,,170.6,,,,
Guido Andreozzi,2018,21,23,57%,69%,41%,50,70%,45,67%,57%,29%,50%,27,44%,44,27%,38%,48%,80.0,183,8,,,,,,
Viktor Troicki,2018,133,52,65%,73%,42%,120,60%,205,77%,62%,24%,47%,87,36%,206,15%,34%,48%,201.0,193,19,,206.9,,,,
Roberto Carballes Baena,2018,17,24,61%,79%,49%,33,67%,73,85%,67%,24%,47%,29,41%,73,16%,33%,50%,73.0,183,12,,171.0,,,,
Jo-Wilfried Tsonga,2018,138,36,61%,80%,56%,54,74%,177,92%,70%,22%,43%,65,28%,179,10%,30%,50%,177.0,188,12,,228.1,,,,
Martin Klizan,2018,62,26,59%,73%,53%,59,56%,122,79%,65%,26%,49%,55,44%,121,20%,35%,50%,40.0,191,27,,195.2,,,,
Stan Wawrinka,2018,181,63,57%,73%,56%,150,65%,333,84%,66%,26%,46%,153,34%,332,16%,34%,50%,59.0,183,27,42.0,205.4,34.0%,64.7%,66.7%,40.0%
Ernests Gulbis,2018,59,40,56%,77%,47%,51,71%,102,85%,64%,27%,46%,46,41%,105,18%,35%,50%,83.0,191,26,,199.0,,,,
