name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank_x,height (cm),matches_played,rank_y,pressure_rating,break_pts_converted%,break_pts_saved%,tie_breaks%,deciding_sets%
Novak Djokovic,2018,174,91,64%,74%,58%,157,66%,457,88%,68%,33%,55%,347,37%,443,29%,41%,54%,1.0,188,42,5.0,244.5,36.6%,66.2%,66.7%,75.0%
Mitchell Krueger,2018,17,8,58%,69%,48%,27,48%,50,72%,60%,22%,54%,28,25%,53,13%,35%,46%,231.0,188,44,,,,,,
Rafael Nadal,2018,54,32,67%,71%,55%,129,68%,237,83%,66%,32%,55%,163,43%,231,30%,41%,53%,2.0,185,17,4.0,244.5,42.9%,68.2%,66.7%,66.7%
James Duckworth,2018,45,25,49%,78%,47%,35,51%,70,76%,62%,26%,45%,21,48%,68,15%,34%,48%,238.0,183,26,,194.0,,,,
Roger Federer,2018,401,98,61%,79%,58%,173,69%,551,90%,71%,33%,48%,317,43%,544,25%,39%,54%,3.0,185,52,9.0,241.2,43.2%,68.8%,56.5%,72.7%
Denis Istomin,2018,74,13,66%,72%,46%,77,57%,154,79%,63%,26%,49%,80,41%,154,21%,36%,49%,99.0,185,29,,194.1,,,,
Alexander Zverev,2018,379,140,63%,76%,51%,221,62%,536,84%,67%,31%,52%,332,41%,538,25%,40%,53%,4.0,198,57,33.0,211.4,41.3%,61.5%,78.6%,30.0%
Aljaz Bedene,2018,76,22,57%,73%,49%,85,67%,127,78%,62%,27%,52%,65,35%,127,18%,37%,50%,67.0,183,17,,199.6,,,,
Kevin Anderson,2018,740,115,64%,79%,54%,201,68%,626,90%,70%,26%,45%,279,35%,617,16%,34%,52%,6.0,203,59,1.0,250.2,34.8%,67.7%,66.7%,81.0%
Adrian Mannarino,2018,168,89,63%,71%,51%,207,57%,402,78%,64%,27%,49%,163,45%,403,18%,35%,49%,41.0,180,41,29.0,214.5,44.8%,57.5%,66.7%,45.5%
Marin Cilic,2018,372,115,59%,79%,52%,186,61%,515,86%,68%,30%,51%,333,36%,510,24%,38%,52%,7.0,198,44,55.0,190.2,36.0%,61.3%,50.0%,42.9%
Bernard Tomic,2018,62,6,69%,75%,48%,43,67%,89,84%,67%,28%,48%,49,33%,91,18%,36%,51%,85.0,196,25,,213.8,,,,
Dominic Thiem,2018,314,112,57%,78%,54%,166,63%,448,86%,67%,30%,50%,272,37%,449,22%,38%,52%,8.0,185,39,32.0,213.7,36.8%,63.3%,50.0%,63.6%
Benoit Paire,2018,305,179,51%,77%,43%,257,56%,409,72%,60%,32%,48%,246,39%,409,24%,38%,49%,55.0,196,43,18.0,225.7,39.4%,55.6%,76.9%,53.8%
Kei Nishikori,2018,150,88,60%,71%,56%,232,63%,468,82%,65%,30%,51%,260,44%,471,24%,38%,51%,9.0,178,52,7.0,242.6,44.2%,63.4%,75.0%,60.0%
Kamil Majchrzak,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,176.0,180,36,,183.8,,,,
Reilly Opelka,2018,66,23,57%,80%,56%,23,78%,54,91%,70%,24%,43%,24,21%,54,9%,31%,50%,102.0,211,39,,205.3,,,,
John Isner,2018,738,83,67%,80%,56%,129,66%,539,92%,72%,23%,41%,194,27%,530,10%,30%,51%,10.0,208,48,49.0,200.7,27.3%,65.9%,47.5%,60.0%
Karen Khachanov,2018,467,100,65%,77%,53%,214,68%,573,88%,69%,28%,52%,293,45%,570,23%,37%,53%,11.0,198,54,30.0,214.5,44.7%,68.2%,43.3%,58.3%
Peter Gojowczyk,2018,255,131,54%,77%,50%,178,57%,408,81%,65%,28%,49%,205,36%,408,18%,36%,50%,60.0,188,37,45.0,203.7,36.1%,57.3%,35.3%,75.0%
Borna Coric,2018,218,79,64%,73%,55%,204,63%,458,84%,67%,29%,52%,264,45%,460,26%,38%,52%,12.0,188,41,23.0,218.4,44.7%,63.2%,46.2%,64.3%
Steve Darcis,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,315.0,175,0,,205.4,,,,
Fabio Fognini,2018,140,128,59%,69%,52%,212,58%,387,77%,62%,32%,53%,241,46%,388,29%,41%,52%,13.0,178,44,38.0,207.4,46.5%,58.0%,42.9%,60.0%
Jaume Munar,2018,84,44,63%,70%,48%,126,66%,173,75%,62%,26%,49%,80,34%,167,16%,35%,49%,74.0,183,32,,153.0,,,,
Tomas Berdych,2018,122,25,59%,78%,48%,91,66%,184,83%,66%,31%,54%,125,42%,178,29%,41%,53%,57.0,196,19,,214.2,,,,
Kyle Edmund,2018,263,77,61%,76%,53%,184,66%,432,85%,67%,26%,51%,239,35%,430,19%,35%,51%,14.0,188,39,31.0,214.1,34.7%,65.8%,50.0%,63.6%
Stefanos Tsitsipas,2018,316,109,58%,76%,54%,245,62%,581,84%,67%,25%,48%,255,40%,568,18%,34%,51%,15.0,193,61,16.0,229.5,40.4%,62.4%,65.6%,61.1%
Matteo Berrettini,2018,130,38,62%,75%,52%,85,59%,198,82%,66%,26%,46%,101,26%,198,13%,34%,50%,52.0,196,43,60.0,176.2,25.7%,58.8%,66.7%,25.0%
Daniil Medvedev,2018,350,201,58%,75%,52%,286,64%,593,83%,65%,28%,52%,370,38%,592,24%,38%,51%,16.0,198,65,14.0,231.3,37.8%,64.3%,62.5%,66.7%
Lloyd Harris,2018,42,13,57%,70%,48%,31,68%,40,75%,61%,32%,47%,26,38%,41,24%,37%,49%,119.0,193,70,,196.8,,,,
Milos Raonic,2018,459,131,61%,83%,55%,118,64%,377,89%,72%,26%,44%,143,38%,374,15%,33%,52%,17.0,196,37,54.0,190.4,38.5%,64.4%,50.0%,37.5%
Nick Kyrgios,2018,454,100,64%,78%,55%,112,69%,340,90%,70%,22%,49%,132,41%,339,16%,32%,51%,51.0,193,31,12.0,232.0,40.9%,68.8%,55.6%,66.7%
Filip Krajinovic,2018,132,62,63%,67%,51%,196,59%,330,75%,61%,28%,54%,229,37%,336,25%,38%,50%,92.0,185,34,61.0,168.7,36.7%,58.7%,40.0%,33.3%
Marco Cecchinato,2018,95,58,65%,69%,48%,101,56%,186,76%,62%,21%,46%,85,21%,187,10%,31%,47%,18.0,185,21,,155.5,,,,
Diego Schwartzman,2018,100,92,60%,69%,50%,201,58%,339,75%,61%,30%,54%,233,39%,344,27%,39%,50%,19.0,170,32,50.0,197.2,39.5%,57.7%,33.3%,66.7%
Rudolf Molleker,2018,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,207.0,185,18,,,,,,
