name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank_x,height (cm),matches_played,rank_y,pressure_rating,break_pts_converted%,break_pts_saved%,tie_breaks%,deciding_sets%
David Ferrer,2014,100,120,62%,70%,51%,317,63%,544,79%,63%,33%,56%,385,43%,539,31%,42%,52%,3,175,23,18.0,220.9,43.1%,63.4%,53.3%,61.1%
Thomaz Bellucci,2014,85,39,55%,73%,52%,69,61%,137,80%,63%,23%,54%,70,43%,138,22%,36%,50%,125,188,1,,189.7,,,,
Grigor Dimitrov,2014,305,139,59%,76%,53%,231,63%,545,84%,67%,29%,50%,279,43%,534,22%,37%,52%,23,191,35,7.0,240.4,43.0%,63.2%,55.6%,78.6%
Dustin Brown,2014,89,41,63%,72%,50%,70,64%,139,82%,64%,25%,52%,72,32%,141,16%,35%,49%,98,196,13,,172.3,,,,
Thanasi Kokkinakis,2014,60,33,58%,72%,50%,58,59%,100,76%,63%,20%,47%,28,25%,99,7%,30%,47%,570,193,34,,203.1,,,,
Ernests Gulbis,2014,402,139,60%,77%,50%,199,65%,447,84%,66%,29%,49%,235,36%,436,19%,36%,51%,24,191,26,8.0,239.9,35.7%,64.8%,66.7%,72.7%
Feliciano Lopez,2014,354,137,57%,77%,51%,243,68%,457,83%,66%,26%,44%,198,37%,460,16%,34%,50%,27,188,31,6.0,241.9,36.9%,68.3%,46.7%,90.0%
Denis Kudla,2014,3,3,63%,62%,50%,32,69%,34,71%,58%,35%,52%,26,38%,35,29%,42%,50%,113,180,51,,184.3,,,,
Roberto Bautista Agut,2014,124,86,67%,71%,53%,250,66%,497,83%,65%,31%,52%,302,40%,488,25%,39%,52%,73,183,35,20.0,215.7,39.7%,66.0%,50.0%,60.0%
Dominic Thiem,2014,121,74,57%,74%,51%,145,59%,294,80%,64%,27%,49%,152,38%,299,19%,36%,50%,137,185,39,43.0,189.7,38.2%,58.6%,50.0%,42.9%
Kevin Anderson,2014,539,136,66%,75%,51%,274,70%,589,86%,67%,26%,48%,284,37%,586,18%,35%,51%,20,203,59,15.0,227.1,36.6%,70.1%,52.0%,68.4%
Diego Schwartzman,2014,1,3,50%,60%,34%,12,42%,12,42%,47%,23%,38%,6,33%,13,15%,29%,38%,118,170,32,63.0,75.0,33.3%,41.7%,0.0%,0.0%
Edouard Roger-Vasselin,2014,130,76,66%,70%,52%,227,67%,406,82%,64%,26%,48%,209,33%,411,17%,35%,50%,40,185,0,42.0,189.7,33.0%,67.4%,47.6%,41.7%
Tommy Robredo,2014,238,81,64%,74%,53%,229,66%,535,86%,66%,26%,49%,253,40%,533,19%,35%,51%,18,180,8,23.0,212.6,39.5%,66.4%,56.7%,50.0%
Alejandro Gonzalez,2014,60,40,58%,68%,47%,114,58%,169,72%,60%,27%,47%,74,43%,171,19%,35%,48%,74,191,47,,,,,,
Fabio Fognini,2014,99,127,56%,71%,47%,206,63%,281,73%,60%,29%,51%,183,39%,288,25%,38%,49%,16,178,44,14.0,227.4,39.3%,63.1%,25.0%,100.0%
Gael Monfils,2014,293,141,63%,76%,50%,157,60%,398,84%,66%,33%,50%,259,41%,397,26%,39%,52%,26,193,28,36.0,197.9,40.5%,59.9%,60.0%,37.5%
Lucas Pouille,2014,21,17,59%,72%,47%,28,64%,51,80%,62%,30%,46%,18,56%,51,20%,37%,50%,193,185,33,,214.0,,,,
Gilles Simon,2014,197,83,55%,71%,53%,245,65%,422,80%,63%,29%,52%,220,48%,422,25%,38%,51%,19,183,37,25.0,209.3,48.2%,65.3%,37.5%,58.3%
Robin Haase,2014,71,41,62%,71%,48%,71,58%,145,79%,62%,24%,45%,60,40%,148,16%,33%,48%,44,191,35,,181.1,,,,
John Isner,2014,668,80,68%,79%,56%,148,72%,516,92%,72%,25%,42%,209,25%,517,10%,31%,51%,14,208,48,9.0,239.3,25.4%,72.3%,68.3%,73.3%
Jimmy Wang,2014,15,15,60%,64%,46%,42,52%,60,67%,57%,23%,57%,30,50%,57,26%,37%,48%,174,180,0,,150.7,,,,
David Goffin,2014,177,89,55%,75%,51%,141,58%,291,80%,64%,28%,54%,181,43%,287,27%,39%,52%,111,180,31,22.0,213.2,42.5%,58.2%,50.0%,62.5%
Michael Russell,2014,16,41,62%,65%,49%,79,51%,136,71%,59%,28%,52%,87,39%,138,25%,39%,49%,91,173,0,,176.9,,,,
Paolo Lorenzi,2014,32,13,60%,71%,48%,55,65%,78,76%,62%,30%,52%,39,49%,79,24%,39%,50%,115,183,10,,186.6,,,,
Alexandr Dolgopolov,2014,182,58,55%,74%,50%,152,60%,292,79%,64%,29%,51%,188,38%,289,25%,37%,50%,55,180,8,41.0,189.7,37.8%,59.9%,54.5%,37.5%
Philipp Kohlschreiber,2014,208,60,55%,75%,56%,150,67%,359,86%,67%,27%,48%,176,40%,363,19%,35%,51%,22,178,24,48.0,184.8,39.8%,67.3%,44.4%,33.3%
Paul-Henri Mathieu,2014,81,55,54%,73%,54%,98,67%,175,82%,64%,23%,46%,80,30%,170,14%,32%,49%,128,185,0,,200.7,,,,
Ivo Karlovic,2014,844,119,67%,85%,58%,124,73%,540,94%,76%,21%,40%,150,31%,545,8%,28%,51%,75,211,32,24.0,209.8,30.7%,72.6%,53.2%,53.3%
Ruben Bemelmans,2014,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,148,183,50,,179.1,,,,
Richard Gasquet,2014,185,56,64%,72%,58%,170,58%,415,83%,67%,27%,51%,217,41%,408,22%,36%,51%,9,183,35,11.0,235.5,40.6%,57.6%,70.6%,66.7%
Carlos Berlocq,2014,40,27,57%,64%,48%,76,57%,99,67%,57%,27%,47%,46,37%,100,17%,35%,47%,41,183,6,,195.2,,,,
Benjamin Becker,2014,213,94,59%,74%,50%,203,57%,416,79%,64%,26%,51%,238,38%,421,21%,36%,50%,81,178,0,32.0,204.5,37.8%,57.1%,47.1%,62.5%
Julien Benneteau,2014,280,104,64%,73%,49%,227,63%,458,82%,64%,29%,49%,269,39%,456,23%,38%,51%,35,185,17,38.0,197.2,39.4%,63.0%,33.3%,61.5%
Leonardo Mayer,2014,96,44,60%,76%,51%,70,61%,164,84%,66%,30%,45%,78,38%,165,18%,36%,50%,94,191,21,,172.9,,,,
John Millman,2014,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,210,183,31,,189.6,,,,
Matthias Bachinger,2014,54,12,66%,75%,54%,29,59%,84,86%,68%,27%,46%,36,39%,81,17%,34%,51%,167,188,41,,168.2,,,,
Pablo Cuevas,2014,56,33,56%,71%,48%,70,53%,113,71%,61%,27%,53%,78,27%,119,18%,37%,48%,222,180,10,,185.1,,,,
Lukas Rosol,2014,162,90,55%,72%,48%,175,63%,285,77%,61%,24%,44%,113,33%,290,13%,32%,47%,47,193,18,26.0,208.5,32.7%,62.9%,46.2%,66.7%
Kenny De Schepper,2014,98,63,63%,74%,47%,59,61%,128,82%,64%,21%,43%,39,26%,132,8%,30%,47%,86,203,36,,167.9,,,,
Jeremy Chardy,2014,287,151,59%,77%,51%,203,66%,427,84%,66%,27%,49%,195,40%,434,18%,36%,51%,31,188,31,30.0,206.0,40.0%,66.0%,50.0%,50.0%
Borna Coric,2014,57,22,54%,75%,53%,41,66%,92,85%,65%,29%,51%,56,38%,91,23%,38%,52%,301,188,41,56.0,170.1,37.5%,65.9%,66.7%,0.0%
Santiago Giraldo,2014,81,35,63%,67%,50%,163,59%,262,74%,61%,25%,50%,136,38%,260,20%,36%,49%,68,188,14,51.0,180.2,38.2%,58.9%,54.5%,28.6%
Jan Hernych,2014,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,234,188,0,,175.5,,,,
Fernando Verdasco,2014,150,129,64%,74%,48%,166,64%,322,82%,64%,30%,46%,168,39%,321,21%,36%,50%,33,188,33,52.0,180.0,39.3%,64.5%,33.3%,42.9%
James Ward,2014,47,18,62%,71%,50%,51,51%,102,75%,63%,27%,47%,53,28%,100,15%,34%,48%,166,188,46,,,,,,
Martin Klizan,2014,99,58,58%,72%,52%,100,58%,212,80%,63%,26%,51%,120,34%,214,19%,36%,49%,107,191,27,,195.2,,,,
Tatsuma Ito,2014,24,24,60%,68%,51%,40,65%,63,78%,61%,21%,54%,28,36%,64,16%,34%,48%,156,180,53,,189.7,,,,
Marcos Baghdatis,2014,81,62,49%,74%,52%,80,54%,165,78%,63%,27%,49%,74,36%,164,16%,36%,49%,109,178,32,,208.8,,,,
Teymuraz Gabashvili,2014,80,79,59%,67%,47%,176,56%,269,71%,59%,28%,52%,156,43%,275,24%,38%,49%,78,185,48,55.0,171.9,42.9%,55.7%,33.3%,40.0%
Ricardas Berankis,2014,26,17,57%,72%,49%,45,60%,86,79%,62%,30%,45%,49,35%,86,20%,36%,49%,130,175,58,,198.6,,,,
Igor Sijsling,2014,156,52,57%,77%,49%,110,62%,243,83%,65%,28%,53%,155,37%,245,23%,38%,51%,69,191,26,,159.2,,,,
Simone Bolelli,2014,33,18,61%,73%,57%,38,53%,88,80%,66%,24%,47%,27,41%,88,13%,33%,49%,304,183,9,,173.9,,,,
Juan Monaco,2014,37,33,69%,66%,54%,91,55%,181,77%,62%,30%,50%,130,33%,183,23%,39%,50%,42,185,0,,186.2,,,,
Marius Copil,2014,90,16,58%,79%,51%,38,71%,80,86%,67%,22%,43%,38,18%,81,9%,31%,49%,138,191,38,,192.6,,,,
Pablo Andujar,2014,37,56,64%,65%,50%,132,52%,218,71%,60%,30%,52%,141,44%,222,28%,40%,50%,48,180,4,,171.3,,,,
Ivan Dodig,2014,275,112,59%,76%,48%,175,61%,360,81%,65%,28%,49%,204,35%,359,20%,37%,50%,34,183,1,54.0,177.0,35.3%,61.1%,38.9%,41.7%
Joao Souza,2014,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,116,193,9,,,,,,
James Duckworth,2014,38,13,56%,78%,44%,37,70%,46,76%,63%,21%,43%,12,8%,50,2%,29%,45%,134,183,26,,194.0,,,,
Blaz Kavcic,2014,70,38,66%,68%,47%,94,64%,136,75%,61%,29%,51%,76,42%,137,23%,38%,50%,102,188,31,,163.5,,,,
Guillermo Garcia-Lopez,2014,84,81,54%,70%,50%,156,56%,263,74%,61%,29%,47%,137,39%,265,20%,36%,49%,58,185,21,45.0,188.3,39.4%,55.8%,37.5%,55.6%
Peter Gojowczyk,2014,65,27,56%,74%,52%,72,68%,126,82%,64%,28%,48%,57,46%,127,20%,36%,50%,136,188,37,,205.1,,,,
Marcel Granollers,2014,97,53,60%,71%,47%,145,55%,240,73%,62%,27%,48%,121,39%,244,19%,36%,49%,36,191,52,,195.6,,,,
Stephane Robert,2014,49,41,52%,78%,51%,59,58%,111,77%,65%,29%,54%,72,39%,109,26%,39%,51%,119,185,30,,181.9,,,,
Sam Groth,2014,267,69,62%,79%,53%,88,67%,235,88%,69%,23%,40%,74,31%,232,10%,29%,49%,157,193,2,,175.4,,,,
Filip Krajinovic,2014,29,4,60%,74%,56%,30,70%,56,84%,67%,24%,45%,30,27%,57,14%,33%,50%,235,185,34,,196.2,,,,
Andreas Haider-Maurer,2014,16,13,52%,64%,55%,15,67%,25,80%,59%,32%,39%,13,38%,25,20%,34%,48%,110,191,3,,193.8,,,,
Laurent Lokoli,2014,2,1,56%,67%,42%,5,40%,9,67%,56%,16%,53%,2,0%,9,0%,26%,41%,454,188,30,,,,,,
Lleyton Hewitt,2014,99,94,52%,73%,48%,170,65%,234,75%,61%,29%,53%,142,46%,237,27%,39%,50%,43,178,0,,220.2,,,,
Ze Zhang,2014,10,8,63%,64%,51%,27,63%,34,71%,59%,25%,48%,14,29%,34,12%,33%,46%,255,188,40,,,,,,
Jerzy Janowicz,2014,288,178,61%,74%,49%,209,59%,421,80%,64%,27%,48%,181,38%,419,16%,34%,49%,21,203,0,17.0,225.1,37.6%,59.3%,66.7%,61.5%
Hiroki Moriya,2014,5,3,62%,59%,45%,18,50%,20,55%,53%,21%,51%,7,57%,19,21%,34%,44%,205,168,68,,,,,,
Malek Jaziri,2014,65,43,50%,71%,49%,113,62%,168,74%,60%,24%,48%,80,34%,170,16%,34%,47%,169,185,55,,197.9,,,,
Mikhail Kukushkin,2014,99,35,59%,69%,52%,177,61%,293,76%,62%,26%,53%,173,38%,297,22%,37%,50%,64,183,36,35.0,198.6,37.6%,61.0%,53.8%,46.2%
Steve Johnson,2014,238,65,60%,76%,51%,129,64%,321,86%,66%,24%,45%,133,31%,319,13%,32%,49%,160,188,33,31.0,205.6,30.8%,64.3%,43.8%,66.7%
Kyle Edmund,2014,11,8,64%,69%,42%,21,48%,34,68%,59%,22%,42%,15,13%,35,6%,31%,44%,374,188,39,,191.1,,,,
Andrey Kuznetsov,2014,38,23,61%,71%,49%,65,65%,108,79%,62%,27%,53%,48,44%,111,19%,37%,49%,131,183,1,,179.9,,,,
Albert Ramos-Vinolas,2014,18,22,62%,65%,44%,59,58%,79,68%,57%,27%,41%,32,31%,82,12%,32%,45%,85,188,24,,175.8,,,,
Nick Kyrgios,2014,149,52,63%,76%,48%,74,61%,150,81%,65%,26%,44%,58,38%,150,15%,33%,49%,183,193,31,57.0,165.4,37.9%,60.8%,66.7%,0.0%
Federico Delbonis,2014,67,47,60%,68%,54%,109,61%,178,76%,62%,22%,49%,81,30%,184,13%,33%,48%,54,193,6,,177.1,,,,
Lukas Lacko,2014,108,53,56%,72%,51%,115,55%,230,77%,62%,24%,47%,99,41%,233,18%,34%,48%,90,188,34,58.0,162.8,41.4%,54.8%,33.3%,33.3%
Maximo Gonzalez,2014,6,8,58%,69%,58%,14,50%,33,79%,64%,17%,43%,15,20%,34,9%,30%,47%,158,173,8,,,,,,
Adrian Mannarino,2014,126,71,61%,68%,53%,176,56%,334,77%,62%,28%,51%,180,44%,335,24%,37%,50%,71,180,41,59.0,154.8,43.9%,56.3%,27.3%,27.3%
Blaz Rola,2014,45,34,63%,73%,47%,60,68%,98,81%,63%,32%,40%,51,39%,98,20%,35%,50%,185,193,31,,,,,,
Marinko Matosevic,2014,142,97,58%,70%,48%,213,62%,327,75%,61%,28%,50%,180,34%,324,19%,37%,49%,56,193,16,21.0,215.1,34.4%,61.5%,69.2%,50.0%
Alexander Kudryavtsev,2014,28,8,55%,74%,56%,20,50%,57,82%,66%,26%,46%,28,29%,58,14%,34%,49%,239,183,0,,,,,,
Jurgen Melzer,2014,43,25,65%,65%,49%,76,51%,129,71%,60%,23%,50%,74,34%,133,19%,34%,47%,29,183,6,,201.6,,,,
Victor Estrella Burgos,2014,55,33,61%,71%,53%,66,52%,149,79%,64%,27%,47%,67,49%,150,22%,36%,50%,143,170,20,,173.0,,,,
Gilles Muller,2014,128,30,61%,76%,49%,44,57%,103,82%,65%,24%,42%,50,24%,104,12%,31%,48%,366,193,22,,210.7,,,,
Pablo Carreno Busta,2014,46,32,62%,70%,49%,92,53%,167,74%,62%,27%,48%,79,39%,166,19%,36%,49%,61,188,31,60.0,125.8,39.2%,53.3%,33.3%,0.0%
Jarkko Nieminen,2014,77,72,64%,69%,51%,196,60%,350,77%,63%,27%,51%,187,39%,340,21%,36%,50%,39,185,0,29.0,207.0,39.0%,59.7%,75.0%,33.3%
Andrey Golubev,2014,50,49,58%,67%,51%,116,63%,160,73%,61%,23%,43%,44,55%,161,15%,30%,47%,84,180,0,,163.9,,,,
Vasek Pospisil,2014,317,122,58%,77%,52%,163,62%,407,85%,67%,27%,46%,185,37%,401,17%,34%,50%,30,193,64,46.0,187.9,36.8%,62.0%,42.9%,46.2%
Sam Querrey,2014,406,80,59%,79%,52%,166,66%,394,86%,68%,27%,46%,190,37%,391,18%,35%,51%,46,198,39,50.0,180.6,36.8%,65.7%,41.7%,36.4%
Dudi Sela,2014,34,72,61%,67%,52%,167,59%,265,74%,61%,30%,52%,159,45%,266,27%,39%,50%,67,175,20,37.0,197.8,44.7%,58.7%,44.4%,50.0%
Jan-Lennard Struff,2014,129,46,58%,75%,51%,87,54%,210,81%,65%,24%,51%,96,38%,212,17%,34%,49%,106,193,28,,190.0,,,,
Andreas Seppi,2014,173,105,56%,71%,51%,249,67%,373,78%,62%,27%,49%,205,37%,374,20%,36%,49%,25,191,36,28.0,207.8,36.6%,66.7%,50.0%,54.5%
Denis Istomin,2014,218,57,65%,72%,50%,193,62%,361,80%,64%,25%,48%,159,40%,360,18%,34%,49%,49,185,29,53.0,178.4,38.7%,61.4%,53.3%,25.0%
Tim Smyczek,2014,70,51,62%,65%,50%,120,53%,191,71%,59%,28%,50%,96,41%,191,20%,36%,48%,89,175,37,,171.2,,,,
Luke Saville,2014,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,396,188,56,,,,,,
Go Soeda,2014,9,10,61%,63%,37%,36,53%,40,58%,53%,31%,53%,27,37%,38,26%,41%,47%,112,178,42,,179.7,,,,
Elias Ymer,2014,2,2,57%,68%,53%,3,0%,9,67%,61%,24%,48%,6,17%,10,10%,33%,44%,769,185,46,,162.1,,,,
Joao Sousa,2014,97,70,60%,68%,48%,254,63%,363,74%,60%,28%,44%,169,38%,369,18%,35%,48%,51,185,40,12.0,229.8,38.5%,63.0%,55.6%,72.7%
Jordan Thompson,2014,13,7,60%,72%,42%,9,44%,21,76%,60%,29%,53%,10,30%,21,14%,38%,48%,321,183,62,,186.4,,,,
Sergiy Stakhovsky,2014,131,70,61%,72%,46%,137,59%,238,76%,62%,26%,47%,127,31%,240,17%,35%,48%,101,193,42,,201.7,,,,
Dusan Lajovic,2014,74,30,63%,67%,51%,100,61%,165,76%,61%,26%,47%,59,47%,165,17%,34%,48%,117,183,31,,184.6,,,,
Bernard Tomic,2014,221,29,66%,75%,55%,97,58%,288,86%,68%,25%,46%,115,37%,287,15%,33%,50%,52,196,25,19.0,219.7,37.4%,57.7%,57.9%,66.7%
Tobias Kamke,2014,31,43,58%,65%,52%,117,60%,169,72%,59%,23%,52%,80,34%,172,16%,35%,48%,77,178,42,,165.9,,,,
Viktor Troicki,2014,86,21,54%,81%,50%,37,59%,92,84%,67%,29%,54%,55,47%,91,29%,40%,53%,79,193,19,,206.9,,,,
Jiri Vesely,2014,85,79,60%,71%,49%,109,61%,163,74%,62%,27%,48%,97,34%,163,20%,36%,49%,82,198,17,,186.4,,,,
Donald Young,2014,87,107,62%,68%,49%,214,57%,362,74%,61%,28%,51%,197,37%,355,20%,37%,49%,96,183,25,33.0,202.8,36.5%,56.5%,63.6%,46.2%
Tim Puetz,2014,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,245,185,15,,,,,,
