name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank_x,height (cm),matches_played,rank_y,pressure_rating,break_pts_converted%,break_pts_saved%,tie_breaks%,deciding_sets%
Novak Djokovic,2014,269,75,67%,76%,56%,174,64%,540,89%,69%,34%,58%,375,47%,517,34%,43%,56%,2,188,42,5.0,246.1,47.2%,64.4%,54.5%,80.0%
Aljaz Bedene,2014,69,28,53%,74%,45%,56,55%,83,70%,61%,27%,48%,33,45%,81,19%,37%,49%,105,183,17,,199.6,,,,
Roger Federer,2014,438,90,62%,79%,58%,238,71%,717,90%,71%,32%,52%,481,40%,705,27%,41%,55%,6,185,52,1.0,258.8,39.5%,70.6%,65.4%,83.3%
Yen-Hsun Lu,2014,140,97,63%,72%,52%,205,65%,380,81%,65%,26%,52%,212,42%,382,23%,37%,51%,62,180,3,34.0,202.4,41.5%,65.4%,45.5%,50.0%
Rafael Nadal,2014,87,40,70%,73%,57%,117,64%,307,86%,68%,31%,54%,208,44%,309,30%,41%,54%,1,185,17,10.0,238.0,44.2%,64.1%,58.3%,71.4%
Mikhail Youzhny,2014,91,51,62%,68%,52%,153,59%,260,76%,62%,28%,51%,125,49%,248,25%,38%,50%,15,183,27,49.0,183.8,48.8%,58.8%,42.9%,33.3%
Stan Wawrinka,2014,287,111,54%,79%,52%,184,62%,476,85%,67%,30%,51%,261,41%,473,23%,38%,52%,8,183,27,27.0,208.2,41.0%,62.0%,66.7%,38.5%
Marsel Ilhan,2014,2,1,60%,76%,64%,3,33%,11,82%,71%,23%,26%,0,0%,11,0%,24%,48%,186,191,13,,147.5,,,,
Kei Nishikori,2014,208,146,60%,74%,53%,272,63%,594,83%,65%,30%,54%,410,41%,609,28%,40%,52%,17,178,52,2.0,258.7,41.0%,63.2%,65.0%,89.5%
Nicolas Almagro,2014,20,2,64%,84%,56%,5,60%,20,90%,74%,21%,45%,8,25%,21,10%,31%,51%,13,183,0,,192.9,,,,
Andy Murray,2014,339,156,59%,74%,51%,340,61%,696,81%,65%,33%,55%,503,45%,699,32%,42%,53%,4,191,10,13.0,228.2,44.5%,61.5%,50.0%,72.2%
Yuki Bhambri,2014,5,7,57%,70%,57%,11,55%,27,81%,65%,28%,52%,10,70%,27,26%,36%,51%,172,185,26,,134.6,,,,
Tomas Berdych,2014,411,138,56%,79%,55%,227,67%,616,88%,68%,28%,54%,386,40%,598,26%,39%,53%,7,196,19,47.0,185.0,39.9%,66.5%,28.6%,50.0%
Alejandro Falla,2014,65,81,53%,68%,43%,155,61%,181,66%,56%,26%,52%,100,41%,182,23%,37%,47%,83,185,0,,185.7,,,,
Milos Raonic,2014,719,146,60%,83%,54%,183,68%,572,90%,72%,25%,46%,218,39%,571,15%,33%,52%,11,196,37,4.0,246.8,38.5%,68.3%,82.9%,57.1%
Illya Marchenko,2014,37,28,61%,70%,52%,35,54%,69,77%,63%,26%,49%,31,32%,70,14%,36%,49%,163,185,13,,183.2,,,,
