name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank_x,height (cm),matches_played,rank_y,pressure_rating,break_pts_converted%,break_pts_saved%,tie_breaks%,deciding_sets%
Dusan Lajovic,2019,111,33,70%,67%,49%,179,58%,294,74%,61%,27%,49%,141,43%,296,21%,35%,49%,45,183,31,48.0,191.3,43.3%,58.1%,44.4%,45.5%
Kyle Edmund,2019,137,44,61%,73%,52%,83,47%,251,82%,65%,24%,49%,111,36%,246,16%,34%,49%,14,188,39,70.0,103.0,36.0%,47.0%,0.0%,20.0%
Sam Querrey,2019,448,114,62%,79%,46%,131,58%,339,84%,66%,25%,47%,155,32%,334,15%,33%,50%,48,198,39,62.0,181.6,31.6%,58.0%,47.6%,44.4%
Borna Coric,2019,236,78,63%,73%,52%,195,66%,369,82%,65%,26%,49%,170,38%,365,18%,35%,50%,12,188,41,15.0,228.5,37.6%,66.2%,53.3%,71.4%
Nikoloz Basilashvili,2019,220,199,57%,70%,51%,254,58%,446,76%,62%,30%,51%,246,44%,445,24%,38%,50%,20,185,32,38.0,202.2,44.3%,57.9%,47.1%,52.9%
Soonwoo Kwon,2019,32,35,63%,68%,50%,80,65%,130,78%,61%,29%,51%,88,33%,131,22%,38%,49%,239,180,36,,211.9,,,,
Pablo Carreno Busta,2019,159,59,68%,72%,54%,202,71%,437,86%,66%,26%,55%,250,40%,434,23%,37%,52%,24,188,31,30.0,210.2,40.4%,70.8%,37.5%,61.5%
Jozef Kovalik,2019,12,7,61%,57%,48%,29,52%,36,61%,53%,18%,45%,8,50%,34,12%,28%,42%,89,183,13,,,,,,
Alexei Popyrin,2019,190,96,61%,72%,52%,167,68%,291,81%,64%,25%,43%,120,35%,295,14%,33%,49%,149,196,48,55.0,186.0,35.0%,67.7%,50.0%,33.3%
Jo-Wilfried Tsonga,2019,376,72,60%,81%,52%,152,70%,392,88%,69%,27%,47%,169,37%,394,16%,34%,52%,177,188,12,3.0,249.7,37.3%,69.7%,70.0%,72.7%
Taylor Fritz,2019,316,72,60%,77%,51%,168,65%,410,86%,67%,22%,47%,154,34%,406,13%,32%,50%,50,196,52,31.0,209.6,35.0%,63.5%,61.1%,50.0%
Tallon Griekspoor,2019,2,4,71%,69%,51%,8,50%,23,83%,64%,17%,45%,8,38%,22,14%,30%,48%,234,188,14,53.0,187.5,37.5%,50.0%,0.0%,100.0%
Daniel Evans,2019,101,64,63%,71%,51%,198,62%,334,78%,64%,29%,49%,193,42%,341,24%,37%,50%,190,175,32,34.0,205.9,42.0%,62.1%,46.2%,55.6%
Mackenzie McDonald,2019,65,45,63%,68%,53%,117,62%,197,78%,63%,24%,50%,75,45%,198,17%,34%,49%,79,178,50,,185.0,,,,
Hubert Hurkacz,2019,258,97,65%,74%,51%,218,66%,422,82%,66%,27%,48%,204,39%,417,19%,35%,50%,88,196,55,26.0,215.9,38.7%,66.1%,44.4%,66.7%
Dennis Novak,2019,10,2,65%,74%,66%,7,43%,25,84%,71%,18%,53%,10,30%,26,12%,31%,49%,142,183,25,,149.3,,,,
Milos Raonic,2019,476,80,63%,83%,55%,83,65%,332,91%,72%,26%,45%,148,29%,326,13%,33%,52%,17,196,37,59.0,185.1,29.7%,64.8%,70.6%,20.0%
Lorenzo Giustino,2019,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,223,180,8,,,,,,
Kevin Anderson,2019,145,27,64%,76%,54%,56,70%,134,87%,68%,27%,50%,61,39%,133,18%,35%,52%,6,203,59,,214.4,,,,
Ilya Ivashka,2019,103,94,59%,70%,47%,142,63%,204,74%,61%,28%,49%,124,29%,199,18%,37%,49%,94,193,52,,192.6,,,,
Gregoire Barrere,2019,62,29,62%,72%,45%,64,55%,109,73%,62%,26%,52%,52,37%,111,17%,36%,49%,158,183,45,,190.9,,,,
Mohamed Safwat,2019,0,2,67%,70%,46%,9,67%,14,79%,62%,13%,49%,5,40%,15,13%,28%,44%,186,180,38,,,,,,
Aljaz Bedene,2019,194,51,59%,77%,50%,85,62%,207,85%,66%,22%,50%,84,42%,212,17%,33%,50%,67,183,17,,199.6,,,,
James Duckworth,2019,26,15,59%,69%,43%,25,52%,39,69%,58%,26%,41%,10,50%,39,13%,32%,46%,238,183,26,,194.0,,,,
Ricardas Berankis,2019,66,51,58%,68%,51%,117,57%,207,76%,61%,28%,51%,107,36%,210,18%,36%,49%,107,175,58,,198.6,,,,
Roberto Carballes Baena,2019,45,50,59%,66%,48%,97,54%,147,69%,58%,31%,49%,78,51%,152,26%,39%,49%,73,183,12,,171.0,,,,
Alex Bolt,2019,52,16,57%,73%,49%,57,61%,92,76%,63%,30%,49%,47,40%,92,21%,37%,50%,159,183,41,,180.3,,,,
Albert Ramos-Vinolas,2019,61,40,61%,68%,53%,131,64%,204,77%,62%,26%,50%,90,48%,215,20%,35%,48%,65,188,24,64.0,179.8,47.8%,64.1%,42.9%,25.0%
Marin Cilic,2019,281,133,59%,78%,48%,172,66%,376,85%,66%,26%,48%,184,32%,375,16%,34%,50%,7,198,44,37.0,203.1,32.1%,66.3%,64.7%,40.0%
Corentin Moutet,2019,12,32,65%,63%,44%,45,49%,69,67%,57%,26%,41%,17,59%,70,14%,32%,45%,152,175,25,,245.8,,,,
Alejandro Davidovich Fokina,2019,9,10,57%,62%,52%,24,46%,34,62%,58%,24%,38%,10,30%,33,9%,28%,43%,241,183,27,67.0,135.8,30.0%,45.8%,60.0%,0.0%
Norbert Gombos,2019,17,11,61%,76%,45%,20,60%,34,76%,64%,22%,45%,13,38%,34,15%,32%,48%,247,193,36,,155.2,,,,
Federico Delbonis,2019,38,31,62%,66%,50%,69,52%,114,71%,60%,27%,52%,63,40%,115,22%,36%,48%,77,193,6,,177.1,,,,
Joao Sousa,2019,153,41,63%,73%,49%,151,61%,313,81%,64%,27%,46%,154,31%,319,15%,34%,49%,44,185,40,32.0,208.1,31.2%,60.9%,61.5%,54.5%
Cristian Garin,2019,91,62,61%,73%,52%,119,59%,236,79%,65%,25%,45%,102,37%,234,16%,33%,49%,86,185,19,,182.8,,,,
Stefano Travaglia,2019,71,18,52%,77%,52%,37,57%,88,82%,65%,23%,51%,34,44%,88,17%,34%,50%,139,185,28,,170.6,,,,
Egor Gerasimov,2019,129,36,66%,75%,54%,66,61%,179,85%,68%,25%,52%,86,26%,178,12%,35%,51%,157,196,40,,207.5,,,,
Casper Ruud,2019,57,36,65%,67%,49%,91,56%,147,73%,61%,22%,48%,62,40%,144,17%,32%,47%,111,183,34,65.0,158.8,40.3%,56.0%,12.5%,50.0%
Peter Gojowczyk,2019,139,96,53%,71%,47%,174,61%,258,74%,60%,26%,48%,130,37%,261,18%,35%,48%,60,188,37,57.0,185.7,36.9%,61.5%,42.9%,44.4%
Christopher Eubanks,2019,67,36,63%,78%,48%,40,55%,96,81%,67%,26%,46%,45,33%,97,15%,33%,49%,171,201,60,,180.8,,,,
Pierre-Hugues Herbert,2019,153,75,59%,73%,52%,148,64%,285,81%,64%,22%,49%,119,35%,280,15%,33%,49%,53,188,48,45.0,194.3,35.3%,63.5%,45.5%,50.0%
Cameron Norrie,2019,154,96,67%,69%,50%,206,65%,346,79%,63%,29%,50%,189,39%,346,21%,37%,50%,93,188,43,36.0,203.6,38.6%,65.0%,50.0%,50.0%
Tatsuma Ito,2019,13,13,55%,68%,44%,27,44%,41,63%,57%,34%,44%,19,42%,41,20%,38%,47%,151,180,53,,189.7,,,,
Prajnesh Gunneswaran,2019,63,44,58%,70%,50%,75,48%,148,74%,61%,23%,48%,67,33%,149,15%,33%,47%,112,188,48,,,,,,
Ivo Karlovic,2019,470,79,66%,84%,55%,68,76%,286,94%,74%,20%,37%,52,25%,287,5%,26%,50%,69,211,32,,201.6,,,,
Vasek Pospisil,2019,68,24,59%,79%,49%,39,59%,110,85%,67%,23%,45%,37,38%,110,13%,32%,50%,71,193,64,,194.1,,,,
Philipp Kohlschreiber,2019,89,38,59%,73%,55%,100,68%,212,85%,66%,25%,49%,109,33%,216,17%,34%,50%,34,178,24,,198.2,,,,
Marcos Giron,2019,21,16,56%,69%,52%,42,64%,70,79%,61%,28%,48%,36,36%,73,18%,36%,49%,251,180,57,,198.3,,,,
Filip Krajinovic,2019,169,42,65%,72%,50%,190,59%,372,79%,64%,30%,51%,217,42%,373,24%,38%,51%,92,185,34,16.0,228.1,41.9%,59.5%,66.7%,60.0%
Quentin Halys,2019,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,128,191,47,,148.8,,,,
Pedro Martinez,2019,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,160,185,30,,213.5,,,,
Dominik Koepfer,2019,34,24,61%,70%,48%,54,59%,97,77%,61%,29%,50%,53,38%,96,21%,38%,50%,161,180,63,,207.4,,,,
John Millman,2019,162,60,61%,70%,54%,203,62%,381,80%,64%,27%,51%,175,43%,374,20%,36%,50%,38,183,31,51.0,188.4,43.4%,62.1%,44.4%,38.5%
Ugo Humbert,2019,197,67,60%,75%,52%,153,61%,324,82%,66%,25%,48%,143,39%,319,18%,34%,50%,98,188,68,66.0,157.8,39.1%,61.2%,37.5%,20.0%
