ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
4,Melbourne,Australian Open,25/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Thiem D.,Fritz T.,5,34,5890,1335,6,2,6,4,6,7,6,4,,,3,1,Completed,1.4,3,1.39,3.27,1.43,3.27,1.39,2.98
4,Melbourne,Australian Open,25/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Rublev A.,Goffin D.,16,11,2004,2555,2,6,7,6,6,4,7,6,,,3,1,Completed,1.5,2.62,1.47,2.91,1.55,2.91,1.46,2.73
4,Melbourne,Australian Open,25/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Nadal R.,Carreno Busta P.,1,30,10235,1422,6,1,6,2,6,4,,,,,3,0,Completed,1.03,15,1.05,14.64,1.05,20,1.02,14.33
4,Melbourne,Australian Open,25/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Wawrinka S.,Isner J.,15,19,2045,1860,6,4,4,1,,,,,,,1,0,Retired,1.66,2.2,1.61,2.49,1.75,2.49,1.64,2.26
4,Melbourne,Australian Open,25/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Kyrgios N.,Khachanov K.,26,17,1520,1995,6,2,7,6,6,7,6,7,7,6,3,2,Completed,1.36,3.2,1.4,3.23,1.41,3.36,1.37,3.11
4,Melbourne,Australian Open,25/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Zverev A.,Verdasco F.,7,51,3345,1050,6,2,6,2,6,4,,,,,3,0,Completed,1.44,2.75,1.43,3.07,1.46,3.07,1.42,2.86
4,Melbourne,Australian Open,25/01/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Medvedev D.,Popyrin A.,4,96,5960,585,6,4,6,3,6,2,,,,,3,0,Completed,1.1,7,1.11,8.13,1.12,8.55,1.1,7.21
4,Melbourne,Australian Open,26/01/2020,Grand Slam,Outdoor,Hard,4th Round,5,Raonic M.,Cilic M.,35,39,1305,1205,6,4,6,3,7,5,,,,,3,0,Completed,1.53,2.5,1.56,2.64,1.58,2.66,1.52,2.53
4,Melbourne,Australian Open,26/01/2020,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Schwartzman D.,2,14,9720,2130,6,3,6,4,6,4,,,,,3,0,Completed,1.04,13,1.05,14.57,1.06,14.57,1.04,11.88
4,Melbourne,Australian Open,26/01/2020,Grand Slam,Outdoor,Hard,4th Round,5,Sandgren T.,Fognini F.,100,12,573,2310,7,6,7,5,6,7,6,4,,,3,1,Completed,2.37,1.57,2.49,1.62,2.5,1.63,2.38,1.59
4,Melbourne,Australian Open,26/01/2020,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Fucsovics M.,3,67,6590,827,4,6,6,1,6,2,6,2,,,3,1,Completed,1.14,5.5,1.16,6.35,1.2,6.35,1.15,5.53
4,Melbourne,Australian Open,27/01/2020,Grand Slam,Outdoor,Hard,4th Round,5,Thiem D.,Monfils G.,5,10,5890,2565,6,2,6,4,6,4,,,,,3,0,Completed,1.3,3.5,1.34,3.64,1.36,3.7,1.32,3.38
4,Melbourne,Australian Open,27/01/2020,Grand Slam,Outdoor,Hard,4th Round,5,Wawrinka S.,Medvedev D.,15,4,2045,5960,6,2,2,6,4,6,7,6,6,2,3,2,Completed,3.75,1.28,4.03,1.3,4.03,1.32,3.79,1.27
4,Melbourne,Australian Open,27/01/2020,Grand Slam,Outdoor,Hard,4th Round,5,Nadal R.,Kyrgios N.,1,26,10235,1520,6,3,3,6,7,6,7,6,,,3,1,Completed,1.16,5,1.18,5.84,1.2,6.15,1.15,5.38
4,Melbourne,Australian Open,27/01/2020,Grand Slam,Outdoor,Hard,4th Round,5,Zverev A.,Rublev A.,7,16,3345,2004,6,4,6,4,6,4,,,,,3,0,Completed,2,1.8,2.16,1.79,2.16,1.91,2.02,1.81
4,Melbourne,Australian Open,28/01/2020,Grand Slam,Outdoor,Hard,Quarterfinals,5,Federer R.,Sandgren T.,3,100,6590,573,6,3,2,6,2,6,7,6,6,3,3,2,Completed,1.08,8,1.11,8.71,1.12,9.3,1.08,7.94
