ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Ymer M.,Uchiyama Y.,78,93,709,594,6,4,6,1,6,2,,,,,3,0,Completed,1.36,3.2,1.34,3.57,1.4,3.6,1.34,3.3
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Mmoh M.,Andujar P.,217,63,219,867,6,1,6,4,6,4,,,,,3,0,Completed,1.53,2.5,1.52,2.74,1.56,2.75,1.5,2.6
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Basilashvili N.,Kwon S.W.,29,87,1485,637,6,7,6,4,7,5,3,6,6,3,3,2,Completed,1.8,2,2.05,1.86,2.05,2.05,1.88,1.93
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Donskoy E.,51,106,1050,522,7,5,6,2,6,1,,,,,3,0,Completed,1.4,3,1.35,3.55,1.43,3.55,1.33,3.29
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Bolt A.,Ramos-Vinolas A.,140,42,377,1130,7,6,1,6,6,7,6,1,6,4,3,2,Completed,2.3,1.61,2.36,1.67,2.5,1.67,2.33,1.6
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Kecmanovic M.,85,54,646,959,6,4,6,4,7,6,,,,,3,0,Completed,2.75,1.44,2.82,1.49,2.82,1.5,2.7,1.47
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Popyrin A.,Tsonga J.W.,96,33,585,1340,6,7,6,2,6,1,,,,,2,1,Retired,2.62,1.5,2.57,1.57,2.65,1.62,2.48,1.54
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,O'Connell C.,16,115,2004,481,6,3,0,6,6,4,7,6,,,3,1,Completed,1.06,10,1.05,14.82,1.07,16,1.04,11.29
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Gojowczyk P.,Eubanks C.,120,221,463,215,7,6,6,3,4,6,6,0,,,3,1,Completed,1.53,2.5,1.62,2.46,1.62,2.66,1.54,2.47
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Sugita Y.,Benchetrit E.,91,231,608,205,6,2,6,0,6,3,,,,,3,0,Completed,1.44,2.75,1.5,2.8,1.5,3.03,1.44,2.78
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Herbert P.H.,Norrie C.,64,62,865,885,7,5,3,6,3,6,7,5,6,4,3,2,Completed,1.66,2.2,1.64,2.42,1.78,2.45,1.63,2.29
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Tiafoe F.,4,50,5960,1050,6,3,4,6,6,4,6,2,,,3,1,Completed,1.07,9,1.06,11.99,1.08,12,1.06,9.65
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Lu Y.H.,10,N/A,2565,N/A,6,1,6,4,6,2,,,,,3,0,Completed,1.01,21,1.02,24.4,1.03,29,1.02,18.31
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Kyrgios N.,Sonego L.,26,53,1520,990,6,2,7,6,7,6,,,,,3,0,Completed,1.12,6,1.09,9,1.12,9.3,1.1,7.09
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Munar J.,Gaston H.,90,247,608,189,7,5,5,7,6,0,6,3,,,3,1,Completed,1.3,3.5,1.3,3.89,1.32,4,1.28,3.63
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Griekspoor T.,34,175,1335,288,6,3,6,3,6,3,,,,,3,0,Completed,1.2,4.5,1.26,4.38,1.26,5,1.22,4.36
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Goffin D.,Chardy J.,11,58,2555,920,6,4,6,3,6,1,,,,,3,0,Completed,1.2,4.5,1.24,4.6,1.24,5,1.2,4.55
